sim_time_hours,hour,occupied,outdoor_temp_c,carbon_gco2_kwh,price_usd_kwh,heating_sp_c,cooling_sp_c,source,latency_ms,rationale
4353.167,9.17,False,29.6,280.1,0.08,15.6,28.0,llm,0.0,(cached) Building is unoccupied and it's a weekend.
4353.5,9.5,False,30.0,275.5,0.08,15.6,28.0,llm,0.0,(cached) Building is unoccupied and it's a weekend.
4353.833,9.83,False,30.4,271.3,0.08,15.6,28.0,llm,0.0,(cached) Building is unoccupied and it's a weekend.
4354.167,10.17,False,30.7,267.5,0.08,15.6,28.0,llm,0.0,(cached) Building is unoccupied and it's a weekend.
4354.5,10.5,False,30.9,264.1,0.08,15.6,28.0,llm,0.0,(cached) Building is unoccupied and it's a weekend.
4354.833,10.83,False,31.0,261.3,0.08,15.6,28.0,llm,9180.7,It is currently unoccupied and the grid is not in peak period.
4355.167,11.17,False,31.2,259.1,0.08,15.6,28.0,llm,0.0,(cached) It is currently unoccupied and the grid is not in peak period.
4355.5,11.5,False,31.4,257.6,0.08,15.6,28.0,llm,0.0,(cached) It is currently unoccupied and the grid is not in peak period.
4355.833,11.83,False,31.6,256.9,0.08,15.6,28.0,llm,0.0,(cached) It is currently unoccupied and the grid is not in peak period.
4356.167,12.17,False,31.8,257.3,0.08,15.6,28.0,llm,0.0,(cached) It is currently unoccupied and the grid is not in peak period.
4356.5,12.5,False,32.0,258.7,0.08,15.6,28.0,llm,0.0,(cached) It is currently unoccupied and the grid is not in peak period.
4356.833,12.83,False,32.1,261.5,0.08,15.6,28.0,llm,0.0,(cached) It is currently unoccupied and the grid is not in peak period.
4357.167,13.17,False,32.3,265.9,0.08,15.6,28.0,llm,0.0,(cached) It is currently unoccupied and the grid is not in peak period.
4357.5,13.5,False,32.5,271.9,0.08,15.6,28.0,llm,0.0,(cached) It is currently unoccupied and the grid is not in peak period.
4357.833,13.83,False,32.7,280.0,0.08,15.6,28.0,llm,0.0,(cached) It is currently unoccupied and the grid is not in peak period.
4358.167,14.17,False,32.8,290.1,0.08,15.6,28.0,llm,0.0,(cached) It is currently unoccupied and the grid is not in peak period.
4358.5,14.5,False,32.8,302.5,0.08,15.6,28.0,llm,0.0,(cached) It is currently unoccupied and the grid is not in peak period.
4358.833,14.83,False,32.8,317.3,0.08,15.6,28.0,llm,0.0,(cached) It is currently unoccupied and the grid is not in peak period.
4359.167,15.17,False,32.8,334.4,0.08,15.6,28.0,llm,0.0,(cached) It is currently unoccupied and the grid is not in peak period.
4359.5,15.5,False,32.8,353.6,0.08,15.6,28.0,llm,0.0,(cached) It is currently unoccupied and the grid is not in peak period.
4359.833,15.83,False,32.8,374.8,0.08,15.6,28.0,llm,0.0,(cached) It is currently unoccupied and the grid is not in peak period.
4360.167,16.17,False,32.6,397.5,0.34,15.6,29.0,llm,8684.3,Setting back to save energy during the grid peak period
4360.5,16.5,False,32.2,421.2,0.34,15.6,29.0,llm,0.0,(cached) Setting back to save energy during the grid peak period
4360.833,16.83,False,31.9,445.2,0.34,15.6,29.0,llm,0.0,(cached) Setting back to save energy during the grid peak period
4361.167,17.17,False,31.6,468.6,0.34,15.6,29.0,llm,0.0,(cached) Setting back to save energy during the grid peak period
4361.5,17.5,False,31.4,490.9,0.34,15.6,29.0,llm,0.0,(cached) Setting back to save energy during the grid peak period
4361.833,17.83,False,31.2,511.0,0.34,15.6,29.0,llm,0.0,(cached) Setting back to save energy during the grid peak period
4362.167,18.17,False,30.9,528.2,0.34,15.6,28.0,llm,9115.9,It is currently unoccupied and the grid is in a peak period.
4362.5,18.5,False,30.6,542.0,0.34,15.6,28.0,llm,0.0,(cached) It is currently unoccupied and the grid is in a peak period.
4362.833,18.83,False,30.2,551.9,0.34,15.6,28.0,llm,0.0,(cached) It is currently unoccupied and the grid is in a peak period.
4363.167,19.17,False,29.7,557.5,0.34,15.6,28.0,llm,0.0,(cached) It is currently unoccupied and the grid is in a peak period.
4363.5,19.5,False,29.1,558.9,0.34,15.6,28.0,llm,0.0,(cached) It is currently unoccupied and the grid is in a peak period.
4363.833,19.83,False,28.6,556.3,0.34,15.6,29.0,llm,8685.9,It is a weekend evening during the grid peak period.
4364.167,20.17,False,28.2,549.9,0.34,15.6,29.0,llm,0.0,(cached) It is a weekend evening during the grid peak period.
4364.5,20.5,False,28.1,540.4,0.34,15.6,29.0,llm,0.0,(cached) It is a weekend evening during the grid peak period.
4364.833,20.83,False,27.9,528.4,0.34,15.6,29.0,llm,0.0,(cached) It is a weekend evening during the grid peak period.
4365.167,21.17,False,27.7,514.7,0.08,15.6,28.0,llm,8752.5,It is a weekend evening and the building is unoccupied.
4365.5,21.5,False,27.5,500.0,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend evening and the building is unoccupied.
4365.833,21.83,False,27.3,485.0,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend evening and the building is unoccupied.
4366.167,22.17,False,27.2,470.3,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend evening and the building is unoccupied.
4366.5,22.5,False,27.2,456.4,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend evening and the building is unoccupied.
4366.833,22.83,False,27.2,443.6,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend evening and the building is unoccupied.
4367.167,23.17,False,27.2,432.2,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend evening and the building is unoccupied.
4367.5,23.5,False,27.2,422.2,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend evening and the building is unoccupied.
4367.833,23.83,False,27.2,413.6,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend evening and the building is unoccupied.
4368.167,0.17,False,27.2,378.0,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend evening and the building is unoccupied.
4368.5,0.5,False,27.2,378.9,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend evening and the building is unoccupied.
4368.833,0.83,False,27.2,379.4,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend evening and the building is unoccupied.
4369.167,1.17,False,27.1,379.4,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend evening and the building is unoccupied.
4369.5,1.5,False,26.9,378.9,0.08,15.6,28.0,llm,9089.0,The building is unoccupied and it's during a low-carbon grid period.
4369.833,1.83,False,26.8,378.0,0.08,15.6,28.0,llm,0.0,(cached) The building is unoccupied and it's during a low-carbon grid period.
4370.167,2.17,False,26.7,376.5,0.08,15.6,28.0,llm,0.0,(cached) The building is unoccupied and it's during a low-carbon grid period.
4370.5,2.5,False,26.7,374.6,0.08,15.6,28.0,llm,0.0,(cached) The building is unoccupied and it's during a low-carbon grid period.
4370.833,2.83,False,26.7,372.2,0.08,15.6,28.0,llm,0.0,(cached) The building is unoccupied and it's during a low-carbon grid period.
4371.167,3.17,False,26.7,369.4,0.08,15.6,28.0,llm,0.0,(cached) The building is unoccupied and it's during a low-carbon grid period.
4371.5,3.5,False,26.7,366.1,0.08,15.6,28.0,llm,0.0,(cached) The building is unoccupied and it's during a low-carbon grid period.
4371.833,3.83,False,26.7,362.5,0.08,15.6,28.0,llm,0.0,(cached) The building is unoccupied and it's during a low-carbon grid period.
4372.167,4.17,False,26.8,358.5,0.08,15.6,28.0,llm,0.0,(cached) The building is unoccupied and it's during a low-carbon grid period.
4372.5,4.5,False,26.9,354.2,0.08,15.6,28.0,llm,0.0,(cached) The building is unoccupied and it's during a low-carbon grid period.
4372.833,4.83,False,27.1,349.5,0.08,15.6,28.0,llm,8892.0,It is currently unoccupied and the grid is not in peak period.
4373.167,5.17,True,27.2,344.6,0.08,21.0,25.5,llm,8320.8,Occupied and not during grid peak period
4373.5,5.5,True,27.2,339.5,0.08,21.0,25.5,llm,8539.7,Occupied and grid is not in peak period.
4373.833,5.83,True,27.2,334.2,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4374.167,6.17,True,27.4,328.8,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4374.5,6.5,True,27.8,323.2,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4374.833,6.83,True,28.1,317.6,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4375.167,7.17,True,28.5,311.9,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4375.5,7.5,True,28.9,306.3,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4375.833,7.83,True,29.2,300.7,0.08,21.0,25.5,llm,8787.3,Occupied office with moderate indoor temperature and acceptable CO2 levels.
4376.167,8.17,True,29.6,295.3,0.08,21.0,25.5,llm,0.0,(cached) Occupied office with moderate indoor temperature and acceptable CO2 levels.
4376.5,8.5,True,30.0,290.0,0.08,21.0,25.5,llm,0.0,(cached) Occupied office with moderate indoor temperature and acceptable CO2 levels.
4376.833,8.83,True,30.4,284.9,0.08,21.0,25.5,llm,0.0,(cached) Occupied office with moderate indoor temperature and acceptable CO2 levels.
4377.167,9.17,True,30.7,280.1,0.08,21.0,25.5,llm,0.0,(cached) Occupied office with moderate indoor temperature and acceptable CO2 levels.
4377.5,9.5,True,30.9,275.5,0.08,21.0,25.5,llm,0.0,(cached) Occupied office with moderate indoor temperature and acceptable CO2 levels.
4377.833,9.83,True,31.0,271.3,0.08,21.0,25.5,llm,9562.6,Occupied office with moderate indoor temperature and acceptable CO2 levels; maintaining comfort while minimizing energy use.
4378.167,10.17,True,31.2,267.5,0.08,21.0,25.5,llm,0.0,(cached) Occupied office with moderate indoor temperature and acceptable CO2 levels; maintaining comfort while minimizing energy use.
4378.5,10.5,True,31.4,264.1,0.08,21.0,25.5,llm,0.0,(cached) Occupied office with moderate indoor temperature and acceptable CO2 levels; maintaining comfort while minimizing energy use.
4378.833,10.83,True,31.6,261.3,0.08,21.0,25.5,llm,0.0,(cached) Occupied office with moderate indoor temperature and acceptable CO2 levels; maintaining comfort while minimizing energy use.
4379.167,11.17,True,31.8,259.1,0.08,21.0,25.5,llm,0.0,(cached) Occupied office with moderate indoor temperature and acceptable CO2 levels; maintaining comfort while minimizing energy use.
4379.5,11.5,True,32.0,257.6,0.08,21.0,25.5,llm,0.0,(cached) Occupied office with moderate indoor temperature and acceptable CO2 levels; maintaining comfort while minimizing energy use.
4379.833,11.83,True,32.1,256.9,0.08,21.0,25.5,llm,0.0,(cached) Occupied office with moderate indoor temperature and acceptable CO2 levels; maintaining comfort while minimizing energy use.
4380.167,12.17,True,32.2,257.3,0.08,21.0,25.5,llm,0.0,(cached) Occupied office with moderate indoor temperature and acceptable CO2 levels; maintaining comfort while minimizing energy use.
4380.5,12.5,True,32.2,258.7,0.08,21.0,25.5,llm,0.0,(cached) Occupied office with moderate indoor temperature and acceptable CO2 levels; maintaining comfort while minimizing energy use.
4380.833,12.83,True,32.2,261.5,0.08,21.0,25.5,llm,0.0,(cached) Occupied office with moderate indoor temperature and acceptable CO2 levels; maintaining comfort while minimizing energy use.
4381.167,13.17,True,32.3,265.9,0.08,21.0,25.5,llm,0.0,(cached) Occupied office with moderate indoor temperature and acceptable CO2 levels; maintaining comfort while minimizing energy use.
4381.5,13.5,True,32.5,271.9,0.08,21.0,25.5,llm,0.0,(cached) Occupied office with moderate indoor temperature and acceptable CO2 levels; maintaining comfort while minimizing energy use.
4381.833,13.83,True,32.7,280.0,0.08,21.0,25.5,llm,0.0,(cached) Occupied office with moderate indoor temperature and acceptable CO2 levels; maintaining comfort while minimizing energy use.
4382.167,14.17,True,32.8,290.1,0.08,21.0,25.5,llm,0.0,(cached) Occupied office with moderate indoor temperature and acceptable CO2 levels; maintaining comfort while minimizing energy use.
4382.5,14.5,True,32.8,302.5,0.08,21.0,25.5,llm,0.0,(cached) Occupied office with moderate indoor temperature and acceptable CO2 levels; maintaining comfort while minimizing energy use.
4382.833,14.83,True,32.8,317.3,0.08,21.0,25.5,llm,0.0,(cached) Occupied office with moderate indoor temperature and acceptable CO2 levels; maintaining comfort while minimizing energy use.
4383.167,15.17,True,32.5,334.4,0.08,21.0,25.5,llm,0.0,(cached) Occupied office with moderate indoor temperature and acceptable CO2 levels; maintaining comfort while minimizing energy use.
4383.5,15.5,True,31.9,353.6,0.08,21.0,25.5,llm,0.0,(cached) Occupied office with moderate indoor temperature and acceptable CO2 levels; maintaining comfort while minimizing energy use.
4383.833,15.83,True,31.4,374.8,0.08,21.0,25.5,llm,0.0,(cached) Occupied office with moderate indoor temperature and acceptable CO2 levels; maintaining comfort while minimizing energy use.
4384.167,16.17,True,31.2,397.5,0.34,21.0,25.5,llm,9219.4,"Occupied during peak grid period, so float cooling to warm end of comfort band."
4384.5,16.5,True,31.4,421.2,0.34,21.0,25.5,llm,0.0,"(cached) Occupied during peak grid period, so float cooling to warm end of comfort band."
4384.833,16.83,True,31.6,445.2,0.34,21.0,25.5,llm,0.0,"(cached) Occupied during peak grid period, so float cooling to warm end of comfort band."
4385.167,17.17,True,31.6,468.6,0.34,21.0,25.5,llm,0.0,"(cached) Occupied during peak grid period, so float cooling to warm end of comfort band."
4385.5,17.5,True,31.4,490.9,0.34,21.0,25.5,llm,0.0,"(cached) Occupied during peak grid period, so float cooling to warm end of comfort band."
4385.833,17.83,True,31.2,511.0,0.34,21.0,25.5,llm,0.0,"(cached) Occupied during peak grid period, so float cooling to warm end of comfort band."
4386.167,18.17,True,30.8,528.2,0.34,21.0,25.5,llm,9248.5,"Occupied and grid peak period, so setting cooling to warm end of comfort band."
4386.5,18.5,True,30.2,542.0,0.34,21.0,25.5,llm,0.0,"(cached) Occupied and grid peak period, so setting cooling to warm end of comfort band."
4386.833,18.83,True,29.7,551.9,0.34,21.0,25.5,llm,0.0,"(cached) Occupied and grid peak period, so setting cooling to warm end of comfort band."
4387.167,19.17,True,29.3,557.5,0.34,21.0,25.5,llm,0.0,"(cached) Occupied and grid peak period, so setting cooling to warm end of comfort band."
4387.5,19.5,True,29.1,558.9,0.34,21.0,25.5,llm,0.0,"(cached) Occupied and grid peak period, so setting cooling to warm end of comfort band."
4387.833,19.83,True,29.0,556.3,0.34,21.0,25.5,llm,9173.2,"Occupied during peak grid period, so float cooling to warm end of comfort band."
4388.167,20.17,True,28.9,549.9,0.34,21.0,25.5,llm,0.0,"(cached) Occupied during peak grid period, so float cooling to warm end of comfort band."
4388.5,20.5,True,28.9,540.4,0.34,21.0,25.5,llm,0.0,"(cached) Occupied during peak grid period, so float cooling to warm end of comfort band."
4388.833,20.83,True,28.9,528.4,0.34,21.0,25.5,llm,0.0,"(cached) Occupied during peak grid period, so float cooling to warm end of comfort band."
4389.167,21.17,True,28.8,514.7,0.08,21.0,25.5,llm,8529.5,Occupied and grid is not in peak period.
4389.5,21.5,True,28.6,500.0,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4389.833,21.83,True,28.4,485.0,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4390.167,22.17,True,28.3,470.3,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4390.5,22.5,True,28.3,456.4,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4390.833,22.83,True,28.3,443.6,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4391.167,23.17,False,28.3,432.2,0.08,15.6,28.0,llm,8637.3,It is a weekend night and the building is unoccupied.
4391.5,23.5,False,28.3,422.2,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend night and the building is unoccupied.
4391.833,23.83,False,28.3,413.6,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend night and the building is unoccupied.
4392.167,0.17,False,28.3,378.0,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend night and the building is unoccupied.
4392.5,0.5,False,28.3,378.9,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend night and the building is unoccupied.
4392.833,0.83,False,28.3,379.4,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend night and the building is unoccupied.
4393.167,1.17,False,28.2,379.4,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend night and the building is unoccupied.
4393.5,1.5,False,28.1,378.9,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend night and the building is unoccupied.
4393.833,1.83,False,27.9,378.0,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend night and the building is unoccupied.
4394.167,2.17,False,27.8,376.5,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend night and the building is unoccupied.
4394.5,2.5,False,27.8,374.6,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend night and the building is unoccupied.
4394.833,2.83,False,27.8,372.2,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend night and the building is unoccupied.
4395.167,3.17,False,27.8,369.4,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend night and the building is unoccupied.
4395.5,3.5,False,27.8,366.1,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend night and the building is unoccupied.
4395.833,3.83,False,27.8,362.5,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend night and the building is unoccupied.
4396.167,4.17,False,27.8,358.5,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend night and the building is unoccupied.
4396.5,4.5,False,27.8,354.2,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend night and the building is unoccupied.
4396.833,4.83,False,27.8,349.5,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend night and the building is unoccupied.
4397.167,5.17,True,27.8,344.6,0.08,21.0,25.5,llm,8895.6,Occupied during a non-peak period with moderate outdoor temperature.
4397.5,5.5,True,27.8,339.5,0.08,21.0,25.5,llm,8531.3,Occupied and grid is not in peak period.
4397.833,5.83,True,27.8,334.2,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4398.167,6.17,True,28.0,328.8,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4398.5,6.5,True,28.4,323.2,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4398.833,6.83,True,28.7,317.6,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4399.167,7.17,True,28.8,311.9,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4399.5,7.5,True,28.6,306.3,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4399.833,7.83,True,28.4,300.7,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4400.167,8.17,True,28.4,295.3,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4400.5,8.5,True,28.6,290.0,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4400.833,8.83,True,28.8,284.9,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4401.167,9.17,True,29.0,280.1,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4401.5,9.5,True,29.1,275.5,0.08,21.0,25.5,llm,8498.5,Occupied and grid is not in peak period.
4401.833,9.83,True,29.3,271.3,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4402.167,10.17,True,29.6,267.5,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4402.5,10.5,True,30.0,264.1,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4402.833,10.83,True,30.4,261.3,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4403.167,11.17,True,30.7,259.1,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4403.5,11.5,True,30.9,257.6,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4403.833,11.83,True,31.0,256.9,0.08,21.0,25.5,llm,8495.8,Occupied and grid is not in peak period.
4404.167,12.17,True,31.2,257.3,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4404.5,12.5,True,31.4,258.7,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4404.833,12.83,True,31.6,261.5,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4405.167,13.17,True,31.6,265.9,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4405.5,13.5,True,31.4,271.9,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4405.833,13.83,True,31.2,280.0,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4406.167,14.17,True,31.0,290.1,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4406.5,14.5,True,30.9,302.5,0.08,21.0,25.5,llm,8510.1,Occupied and grid is not in peak period.
4406.833,14.83,True,30.7,317.3,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4407.167,15.17,True,30.1,334.4,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4407.5,15.5,True,29.2,353.6,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4407.833,15.83,True,28.3,374.8,0.08,21.0,25.5,llm,8432.2,Occupied and grid is not in peak period.
4408.167,16.17,True,27.1,397.5,0.34,21.0,25.5,llm,9325.6,"Occupied and grid peak period, so setting cooling to warm end of comfort band."
4408.5,16.5,True,25.6,421.2,0.34,21.0,25.5,llm,9404.1,"Occupied during peak grid period, so float cooling to warm end of comfort band."
4408.833,16.83,True,24.1,445.2,0.34,21.0,25.5,llm,9178.1,"Occupied during peak grid period, so float cooling to warm end of comfort band."
4409.167,17.17,True,23.5,468.6,0.34,21.0,25.5,llm,0.0,"(cached) Occupied during peak grid period, so float cooling to warm end of comfort band."
4409.5,17.5,True,23.9,490.9,0.34,21.0,25.5,llm,0.0,"(cached) Occupied during peak grid period, so float cooling to warm end of comfort band."
4409.833,17.83,True,24.2,511.0,0.34,21.0,25.5,llm,0.0,"(cached) Occupied during peak grid period, so float cooling to warm end of comfort band."
4410.167,18.17,True,24.5,528.2,0.34,21.0,25.5,llm,0.0,"(cached) Occupied during peak grid period, so float cooling to warm end of comfort band."
4410.5,18.5,True,24.7,542.0,0.34,21.0,25.5,llm,0.0,"(cached) Occupied during peak grid period, so float cooling to warm end of comfort band."
4410.833,18.83,True,24.9,551.9,0.34,21.0,25.5,llm,0.0,"(cached) Occupied during peak grid period, so float cooling to warm end of comfort band."
4411.167,19.17,True,24.9,557.5,0.34,21.0,25.5,llm,0.0,"(cached) Occupied during peak grid period, so float cooling to warm end of comfort band."
4411.5,19.5,True,24.7,558.9,0.34,21.0,25.5,llm,0.0,"(cached) Occupied during peak grid period, so float cooling to warm end of comfort band."
4411.833,19.83,True,24.5,556.3,0.34,21.0,25.5,llm,0.0,"(cached) Occupied during peak grid period, so float cooling to warm end of comfort band."
4412.167,20.17,True,24.5,549.9,0.34,21.0,25.5,llm,0.0,"(cached) Occupied during peak grid period, so float cooling to warm end of comfort band."
4412.5,20.5,True,24.7,540.4,0.34,21.0,25.5,llm,0.0,"(cached) Occupied during peak grid period, so float cooling to warm end of comfort band."
4412.833,20.83,True,24.9,528.4,0.34,21.0,25.5,llm,0.0,"(cached) Occupied during peak grid period, so float cooling to warm end of comfort band."
4413.167,21.17,True,25.0,514.7,0.08,21.0,25.5,llm,8458.4,Occupied and grid is not in peak period.
4413.5,21.5,True,25.0,500.0,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4413.833,21.83,True,25.0,485.0,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4414.167,22.17,True,25.1,470.3,0.08,21.0,25.5,llm,8567.1,Occupied and grid is not in peak period.
4414.5,22.5,True,25.3,456.4,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
4414.833,22.83,True,25.5,443.6,0.08,21.0,25.5,llm,0.0,(cached) Occupied and grid is not in peak period.
